EODDATAID,ADATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES
416401592,01-Jan-14,NIFTY,6323.8,6327.2,6298.25,6301.65,,,69567668,2015.36,01-Jan-2014,
416401593,01-Jan-14,BANKNIFTY,11418.9,11432.55,11361,11385.6,,,12087962,620.02,01-Jan-2014,
416411592,02-Jan-14,NIFTY,6323.8,6327.2,6298.25,6301.65,,,69567668,2015.36,02-Jan-2014,
416411593,02-Jan-14,BANKNIFTY,11418.9,11432.55,11361,11385.6,,,12087962,620.02,02-Jan-2014,
416421592,03-Jan-14,NIFTY,6194.55,6221.7,6171.25,6211.15,,,139043889,5369.42,03-Jan-2014,
416421593,03-Jan-14,BANKNIFTY,11098.25,11208,11052.6,11181.65,,,28242636,1619.39,03-Jan-2014,
416451592,06-Jan-14,NIFTY,6220.85,6224.7,6170.25,6191.45,,,118344976,4722.67,06-Jan-2014,
416451593,06-Jan-14,BANKNIFTY,11174.35,11174.35,10996.95,11049.05,,,20454821,1284.43,06-Jan-2014,
416461592,07-Jan-14,NIFTY,6203.9,6221.5,6144.75,6162.25,,,138559000,5696.6,07-Jan-2014,
416461593,07-Jan-14,BANKNIFTY,11097.8,11154.1,10892.15,11036.75,,,30270290,1849.91,07-Jan-2014,
416471592,08-Jan-14,NIFTY,6203.9,6221.5,6144.75,6162.25,,,138559000,5696.6,08-Jan-2014,
416471593,08-Jan-14,BANKNIFTY,11097.8,11154.1,10892.15,11036.75,,,30270290,1849.91,08-Jan-2014,
416481592,09-Jan-14,NIFTY,6203.9,6221.5,6144.75,6162.25,,,138559000,5696.6,09-Jan-2014,
416481593,09-Jan-14,BANKNIFTY,11097.8,11154.1,10892.15,11036.75,,,30270290,1849.91,09-Jan-2014,
416491592,10-Jan-14,NIFTY,6203.9,6221.5,6144.75,6162.25,,,138559000,5696.6,10-Jan-2014,
416491593,10-Jan-14,BANKNIFTY,10969.35,11056.9,10788.2,10805.3,,,35861244,2145.93,10-Jan-2014,
416521592,13-Jan-14,NIFTY,6189.55,6288.2,6189.55,6272.75,,,135009945,5984.02,13-Jan-2014,
416521593,13-Jan-14,BANKNIFTY,10814.65,11070.2,10814.65,11021.6,,,26061661,1477.92,13-Jan-2014,
416531592,14-Jan-14,NIFTY,6260.25,6280.35,6234.15,6241.85,,,110231153,4703.01,14-Jan-2014,
416531593,14-Jan-14,BANKNIFTY,10989.15,11065.65,10922.6,10948.9,,,21566170,1291.61,14-Jan-2014,
416541592,15-Jan-14,NIFTY,6260.25,6280.35,6234.15,6241.85,,,110231153,4703.01,15-Jan-2014,
416541593,15-Jan-14,BANKNIFTY,10989.15,11065.65,10922.6,10948.9,,,21566170,1291.61,15-Jan-2014,
416551592,16-Jan-14,NIFTY,6341.35,6346.5,6299.85,6318.9,,,153420441,6758.63,16-Jan-2014,
416551593,16-Jan-14,BANKNIFTY,11187.35,11192.8,11070,11092.55,,,22843262,1364.02,16-Jan-2014,
416561592,17-Jan-14,NIFTY,6306.25,6327.1,6246.35,6261.65,,,167719501,7895.92,17-Jan-2014,
416561593,17-Jan-14,BANKNIFTY,11080.1,11081.95,10893.75,10911.35,,,30586938,1967.21,17-Jan-2014,
416591592,20-Jan-14,NIFTY,6306.25,6327.1,6246.35,6261.65,,,167719501,7895.92,20-Jan-2014,
416591593,20-Jan-14,BANKNIFTY,11080.1,11081.95,10893.75,10911.35,,,30586938,1967.21,20-Jan-2014,
416601592,21-Jan-14,NIFTY,6320.15,6330.3,6297.9,6313.8,,,141728380,5831.26,21-Jan-2014,
416601593,21-Jan-14,BANKNIFTY,11067.05,11190.1,11036.4,11171.5,,,22364823,1414.81,21-Jan-2014,
416611592,22-Jan-14,NIFTY,6309.05,6349.95,6287.45,6338.95,,,137490525,5635.92,22-Jan-2014,
416611593,22-Jan-14,BANKNIFTY,11164.25,11248.35,11094.8,11207.35,,,21618052,1321.78,22-Jan-2014,
416621592,23-Jan-14,NIFTY,6325.95,6355.6,6316.4,6345.65,,,120054602,5278.88,23-Jan-2014,
416621593,23-Jan-14,BANKNIFTY,11183.75,11221.1,11122.35,11199,,,21112012,1237.21,23-Jan-2014,
416631592,24-Jan-14,NIFTY,6325.95,6355.6,6316.4,6345.65,,,120054602,5278.88,24-Jan-2014,
416631593,24-Jan-14,BANKNIFTY,11183.75,11221.1,11122.35,11199,,,21112012,1237.21,24-Jan-2014,
416661592,27-Jan-14,NIFTY,6186.3,6188.55,6130.25,6135.85,,,190442601,7091.1,27-Jan-2014,
416661593,27-Jan-14,BANKNIFTY,10802.3,10802.3,10520.9,10540.4,,,37240325,2121.79,27-Jan-2014,
416671592,28-Jan-14,NIFTY,6186.3,6188.55,6130.25,6135.85,,,190442601,7091.1,28-Jan-2014,
416671593,28-Jan-14,BANKNIFTY,10802.3,10802.3,10520.9,10540.4,,,37240325,2121.79,28-Jan-2014,
416681592,29-Jan-14,NIFTY,6186.3,6188.55,6130.25,6135.85,,,190442601,7091.1,29-Jan-2014,
416681593,29-Jan-14,BANKNIFTY,10802.3,10802.3,10520.9,10540.4,,,37240325,2121.79,29-Jan-2014,
416691592,30-Jan-14,NIFTY,6186.3,6188.55,6130.25,6135.85,,,190442601,7091.1,30-Jan-2014,
416691593,30-Jan-14,BANKNIFTY,10802.3,10802.3,10520.9,10540.4,,,37240325,2121.79,30-Jan-2014,
416701592,31-Jan-14,NIFTY,6082.75,6097.85,6067.35,6089.5,,,146713083,5407.1,31-Jan-2014,
416701593,31-Jan-14,BANKNIFTY,10193.55,10266.45,10130.3,10237.75,,,44121844,1829.27,31-Jan-2014,
416731592,03-Feb-14,NIFTY,6058.8,6074.85,5994.45,6001.8,,,134893587,4635.69,03-Feb-2014,
416731593,03-Feb-14,BANKNIFTY,10205.45,10222.65,10089.25,10102.1,,,30407535,1439.62,03-Feb-2014,
416741592,04-Feb-14,NIFTY,5947.6,6017.8,5933.3,6000.9,,,183252654,6075.02,04-Feb-2014,
416741593,04-Feb-14,BANKNIFTY,9983.65,10222.1,9944,10191.2,,,35509598,1636.98,04-Feb-2014,
416751592,05-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,05-Feb-2014,
416751593,05-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,05-Feb-2014,
416761592,06-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,06-Feb-2014,
416761593,06-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,06-Feb-2014,
416771592,07-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,07-Feb-2014,
416771593,07-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,07-Feb-2014,
416801592,10-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,10-Feb-2014,
416801593,10-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,10-Feb-2014,
416811592,11-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,11-Feb-2014,
416811593,11-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,11-Feb-2014,
416821592,12-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,12-Feb-2014,
416821593,12-Feb-14,BANKNIFTY,10215.65,10254.05,10112.5,10231.65,,,27701842,1356.39,12-Feb-2014,
416831592,13-Feb-14,NIFTY,6004.25,6028.05,5962.05,6022.4,,,166627311,5572.13,13-Feb-2014,
416831593,13-Feb-14,BANKNIFTY,10360.7,10386.65,10113.8,10135.7,,,25803512,1343.57,13-Feb-2014,
416841592,14-Feb-14,NIFTY,6023.75,6056.4,5984.6,6048.35,,,140204479,5539.7,14-Feb-2014,
416841593,14-Feb-14,BANKNIFTY,10169,10229.45,10064.75,10203.75,,,28283283,1721.8,14-Feb-2014,
416871592,17-Feb-14,NIFTY,6057.1,6080.65,6038.3,6073.3,,,108492457,4455.65,17-Feb-2014,
